"Serotype","r","delta","phi_1","A_1","A_2","C1","B","C2","Gc0","Gs0","prim_bite","sec_bite"
"DENV1",1.127,3.03346,0.113404,0.982135,5.07977,2.03191,0.491067,0.982135,0.408965,0.24655,-5.13189,-5.40282
"DENV1",1.17888,3.12104,0.11619,0.965379,4.91067,1.96427,0.48269,0.965379,0.120546,0.11426,-5.88631,-4.80868
"DENV1",1.45513,3.3749,0.110419,0.782959,4.91067,1.96427,0.39148,0.782959,0.05,0.0794565,-5.04081,-4.73474
"DENV1",1.25992,3.27408,0.120585,0.982135,5.04891,2.01957,0.491067,0.982135,0.139597,0.124726,-5.2674,-4.14256
"DENV1",1.22934,3.2171,0.118373,0.982135,5.19414,2.07766,0.491067,0.982135,0.129925,0.11281,-5.89557,-4.38224
"DENV1",1.30484,3.18103,0.106528,0.825091,4.91067,1.96427,0.412545,0.825091,0.05,0.073156,-4.76695,-5.40606
"DENV1",1.25333,3.11842,0.104712,0.841814,4.91067,1.96427,0.420907,0.841814,0.05,0.0719657,-5.04737,-5.65063
"DENV1",1.16841,3.18404,0.106692,0.982135,5.08195,2.03278,0.491067,0.982135,0.12832,0.115343,-5.93692,-4.55095
"DENV1",1.22657,3.17828,0.122739,0.982135,5.00665,2.00266,0.491068,0.982135,0.097814,0.0933192,-5.09748,-4.14075
"DENV1",1.37866,2.80567,0.0677087,0.981862,2.62428,1.81641,0.337699,0.510559,0.672185,0.24996,-5.50079,-5.28765
"DENV1",1.19544,3.16105,0.113077,1.01647,5.14376,2.01939,0.491213,0.982225,0.356736,0.228608,-5.08481,-4.96028
"DENV1",1.18307,3.15455,0.107813,0.995692,4.98685,2.00059,0.491665,0.982229,0.20375,0.173107,-5.31292,-5.44104
"DENV1",1.17412,3.11212,0.106663,0.923414,4.91067,1.96427,0.461707,0.923414,0.117569,0.115342,-4.96901,-4.2652
"DENV1",1.19821,3.1206,0.117046,0.954827,4.91067,1.96427,0.477413,0.954827,0.05,0.0654065,-5.62405,-5.17745
"DENV1",1.22463,3.12737,0.105808,0.880611,4.91067,1.96427,0.440306,0.880611,0.05,0.0687441,-5.08004,-5.42144
"DENV1",1.15775,2.97578,0.128181,0.982135,5.18166,2.07267,0.491067,0.982135,0.0644805,0.0600774,-5.67647,-4.97172
"DENV1",1.38761,3.28379,0.112629,0.810867,4.91067,1.96427,0.405433,0.810867,0.05,0.0743374,-5.32085,-4.91135
"DENV1",1.19512,3.01784,0.128481,0.982135,5.19901,2.07961,0.491067,0.982135,0.05,0.0570847,-4.68394,-5.6021
"DENV1",1.14769,3.00856,0.11469,0.947271,4.88945,1.95734,0.475865,0.950868,0.0964009,0.0989284,-5.49961,-4.82787
"DENV1",1.30191,3.1431,0.107587,0.804131,4.91067,1.96427,0.402066,0.804131,0.0529702,0.0740911,-5.03618,-5.62426
"DENV1",1.16801,3.02799,0.112571,0.919438,4.91067,1.96427,0.459719,0.919438,0.05,0.0627655,-5.40765,-5.59296
"DENV1",1.201,3.23568,0.111891,0.982171,4.91086,1.96438,0.49107,0.982136,0.221319,0.178786,-5.06471,-4.92426
"DENV1",1.25213,3.24744,0.124165,0.983828,4.92283,1.96981,0.491496,0.982139,0.304642,0.20981,-4.83127,-4.42669
"DENV1",1.16371,3.09819,0.115388,0.982135,5.18641,2.07456,0.491067,0.982135,0.104095,0.0914961,-5.74,-4.70421
"DENV1",1.94074,3.92744,0.104475,0.592117,4.91067,1.96427,0.296058,0.592117,0.05,0.104118,-3.9588,-4.74495
"DENV1",1.24755,3.15734,0.119612,0.913794,4.91067,1.96427,0.456897,0.913794,0.108912,0.108117,-5.75909,-4.68676
"DENV1",1.303,2.89215,0.0857122,0.982135,3.72723,1.96427,0.369927,0.739855,0.69481,0.25,-5.4429,-5.58732
"DENV1",1.34637,3.26527,0.10784,0.828533,4.91067,1.96427,0.414267,0.828533,0.05,0.0737879,-5.40754,-4.98401
"DENV1",1.17871,3.09077,0.111171,0.930803,4.91067,1.96427,0.465402,0.930803,0.05,0.0643898,-5.38683,-5.30802
"DENV1",1.3916,2.93583,0.0857788,0.910913,2.98723,1.96393,0.384511,0.572715,0.733086,0.25,-4.62461,-4.82363
"DENV1",1.16621,3.15481,0.110443,0.981063,4.90223,1.96422,0.489354,0.979174,0.293464,0.213274,-4.69102,-5.04902
"DENV1",1.5228,3.45443,0.109304,0.754345,4.91067,1.96427,0.377172,0.754345,0.05,0.0869874,-4.7071,-4.63134
"DENV1",1.31991,3.21603,0.112293,0.84621,4.91067,1.96427,0.423105,0.84621,0.05,0.0717047,-5.71944,-5.02907
"DENV1",1.18121,3.07989,0.113623,0.942797,4.91067,1.96427,0.471399,0.942797,0.05,0.0614698,-5.08852,-5.44012
"DENV1",1.29286,3.28646,0.127663,0.982135,4.95002,1.98001,0.491068,0.982135,0.113495,0.106509,-5.33503,-3.82424
"DENV1",1.29251,3.18377,0.104606,0.831376,4.91067,1.96427,0.415688,0.831376,0.05,0.0726416,-4.95635,-5.36359
"DENV1",1.38723,3.35766,0.101184,0.798558,4.91067,1.96182,0.399279,0.798558,0.0854944,0.104051,-5.61151,-4.73651
"DENV1",1.40524,3.32149,0.11823,0.82257,4.91067,1.96427,0.411285,0.82257,0.0818535,0.0963074,-5.78116,-4.43262
"DENV1",1.24691,3.11191,0.107022,0.857142,4.91067,1.96427,0.428571,0.857142,0.05,0.069953,-5.09437,-5.6261
"DENV1",1.18899,3.15246,0.116114,0.982135,5.05514,2.02206,0.491068,0.982135,0.11145,0.10142,-5.39231,-4.45477
"DENV1",1.1957,2.99337,0.138069,0.982135,5.14368,2.05747,0.491067,0.982135,0.0799258,0.0698132,-5.84639,-4.63188
"DENV1",1.17783,3.02019,0.125197,0.982135,5.08848,2.03539,0.491067,0.982135,0.05,0.0572294,-5.03746,-5.5964
"DENV1",1.17876,3.01022,0.116985,0.918084,4.91067,1.96427,0.459042,0.918084,0.05,0.0635486,-5.23239,-5.78895
"DENV1",1.12684,2.98836,0.107743,0.934134,4.91067,1.96427,0.467067,0.934134,0.05,0.0648245,-5.82494,-5.9536
"DENV1",1.12545,3.05404,0.107549,0.968719,4.91018,1.96427,0.480615,0.961226,0.545465,0.25,-4.15896,-5.4733
"DENV1",1.31271,3.22158,0.115059,0.880591,4.74275,1.8971,0.440295,0.880591,0.0851518,0.0977841,-5.72468,-4.95463
"DENV1",1.71674,3.75836,0.0990388,0.614219,4.74275,1.65785,0.307109,0.614219,0.05,0.0898676,-4.71587,-4.62269
"DENV1",1.26054,3.17237,0.0956844,0.766703,4.74275,1.74467,0.383352,0.766703,0.05,0.0715576,-4.90145,-5.95745
"DENV1",1.18389,3.05589,0.117151,0.948551,4.75173,1.90069,0.474275,0.948551,0.05,0.0600933,-5.48716,-5.59835
"DENV1",1.23723,3.09667,0.114957,0.880713,4.74275,1.8971,0.440356,0.880713,0.05,0.0672556,-4.75846,-5.53546
"DENV1",1.25341,3.12329,0.122701,0.948551,4.8567,1.94268,0.474275,0.948551,0.0619798,0.0672548,-5.85741,-5.03801
"DENV1",1.2786,3.17135,0.107124,0.845735,4.74275,1.8971,0.422868,0.845735,0.05,0.0709876,-5.40776,-5.3608
"DENV1",1.19389,3.05471,0.113734,0.948551,5.06386,2.02554,0.474275,0.948551,0.0701736,0.0725874,-5.04539,-5.53658
"DENV1",1.86446,3.94194,0.0838918,0.503445,3.32342,1.53447,0.254751,0.503456,0.05,0.100456,-5.27359,-4.3465
"DENV1",1.25209,3.13322,0.117407,0.948551,4.88419,1.95368,0.474275,0.948551,0.0818398,0.0868476,-5.84335,-4.99229
"DENV1",1.27946,3.20714,0.117879,0.927439,4.74275,1.8971,0.463719,0.927439,0.106353,0.107428,-5.55763,-4.98961
"DENV1",1.30665,3.155,0.113821,0.820017,4.74275,1.8971,0.410008,0.820017,0.05,0.0709721,-4.64382,-5.35712
"DENV1",1.24852,3.11567,0.122701,0.948551,5.10874,2.0435,0.474275,0.948551,0.05,0.0605665,-4.49236,-5.39633
"DENV1",1.2024,3.09591,0.116503,0.942651,4.74275,1.8971,0.471326,0.942651,0.05,0.0638419,-4.84594,-5.55705
"DENV1",1.23733,3.09976,0.103881,0.948551,4.51209,1.8971,0.44638,0.89276,0.647433,0.25,-4.66296,-5.39262
"DENV1",1.35707,3.29926,0.118313,0.886017,4.74271,1.8971,0.443008,0.886013,0.297782,0.249971,-5.74341,-4.68296
"DENV1",1.33445,2.83523,0.0920756,0.948546,3.50919,1.88612,0.351364,0.702367,0.592294,0.25,-4.68772,-5.82213
"DENV1",1.35932,3.12513,0.110142,0.948551,4.61495,1.8971,0.412527,0.825054,0.271044,0.25,-5.79089,-5.1025
"DENV1",1.4506,3.35966,0.115986,0.789633,4.74275,1.8971,0.394817,0.789633,0.05,0.0807236,-6.05471,-4.70446
"DENV1",1.14281,2.9972,0.102732,0.888272,4.74275,1.8971,0.444136,0.888272,0.051538,0.0680549,-5.63859,-6.09781
"DENV1",1.27491,2.8527,0.0990214,0.948551,4.10437,1.8971,0.380629,0.761257,0.751771,0.242162,-4.47472,-5.96058
"DENV1",1.22632,3.1304,0.113806,0.920669,4.74275,1.8971,0.460335,0.920669,0.119828,0.1196,-5.40286,-5.36585
"DENV1",1.22035,3.10111,0.113365,0.974005,4.87002,1.94801,0.474275,0.948551,0.591152,0.25,-4.37492,-5.32706
"DENV1",1.28543,3.15632,0.0893397,0.640572,3.18447,1.8014,0.358398,0.636993,0.999999,0.144778,-4.35073,-5.53943
"DENV1",1.32245,3.22907,0.107508,0.829557,4.74275,1.8971,0.414778,0.829557,0.0539718,0.0766248,-5.10848,-5.17386
"DENV1",1.88325,3.25571,0.0728828,0.750881,1.90965,1.64057,0.256352,0.327346,0.0500001,0.156055,-5.47008,-4.35902
"DENV1",1.72338,3.04869,0.0869273,0.901363,2.58678,1.83487,0.258677,0.547934,0.0500001,0.114762,-5.58536,-4.93867
"DENV1",1.32832,3.25246,0.113015,0.866605,4.74275,1.8971,0.433302,0.866605,0.0950782,0.105097,-5.83505,-4.96125
"DENV1",1.28806,3.10556,0.128594,0.948551,5.2878,2.11512,0.474275,0.948551,0.0793219,0.0738133,-5.59972,-4.94669
"DENV1",1.31911,3.20413,0.124268,0.880356,4.74275,1.8971,0.440178,0.880356,0.05,0.0675312,-4.57938,-5.10696
"DENV1",1.64172,3.62465,0.106612,0.673348,4.74275,1.7887,0.336675,0.673348,0.0835974,0.115677,-5.42598,-4.49735
"DENV1",1.88956,3.17476,0.0917023,0.926683,2.60003,1.8971,0.254016,0.508032,0.05,0.120963,-5.38201,-4.44819
"DENV1",1.22356,3.10809,0.108958,0.884957,4.74275,1.8971,0.442479,0.884957,0.05,0.0705601,-5.34061,-5.57638
"DENV1",1.33716,3.15668,0.103557,0.743136,4.02867,1.8971,0.371568,0.743136,1,0.176122,-4.41921,-5.41371
"DENV1",1.25275,3.13146,0.120835,0.948551,5.06804,2.02722,0.474275,0.948551,0.150173,0.13699,-5.83066,-5.17809
"DENV1",1.30918,3.18697,0.129292,0.948551,5.16708,2.06683,0.474275,0.948551,0.139053,0.124258,-5.53229,-4.88944
"DENV1",1.17048,3.00674,0.118042,0.948551,4.84372,1.93749,0.474275,0.948551,0.0682982,0.0734105,-5.52779,-5.61164
"DENV1",1.38565,3.25882,0.114335,0.791976,4.74275,1.8971,0.395988,0.791976,0.05,0.0736131,-4.15108,-5.04643
"DENV1",1.27736,3.13658,0.12479,0.948696,4.91286,1.96514,0.474281,0.948564,0.0793076,0.082731,-5.68418,-4.84248
"DENV1",1.46867,3.35406,0.113555,0.747188,4.74275,1.8971,0.373594,0.747188,0.05,0.0771983,-5.19947,-4.89209
"DENV1",1.40861,3.30331,0.113663,0.791616,4.74275,1.8971,0.395808,0.791616,0.05,0.0778516,-5.66404,-4.93244
